celltype	input_file	out_dir
baseline_ibd_inflamed_ABCA8pos_WNT2Bpos_FOShi_fibroblast	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_ABCA8pos_WNT2Bpos_FOShi_fibroblast_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_ABCA8pos_WNT2Bpos_FOSlo_fibroblast	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_ABCA8pos_WNT2Bpos_FOSlo_fibroblast_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Arterial_endothelial	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Arterial_endothelial_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_C1Qhi_IL1Bhi_macro	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_C1Qhi_IL1Bhi_macro_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_C1Qhi_IL1Blo_macro	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_C1Qhi_IL1Blo_macro_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_C3hi_CCL19pos_fibroblast	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_C3hi_CCL19pos_fibroblast_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_C3hi_RSPO3pos_fibroblast	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_C3hi_RSPO3pos_fibroblast_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CCL22pos_B	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CCL22pos_B_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CCL3pos_CCL4pos_memory_B	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CCL3pos_CCL4pos_memory_B_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD1Chi_DC	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD1Chi_DC_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD4_FCRL3pos_TLR5pos_Treg	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD4_FCRL3pos_TLR5pos_Treg_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD4_FOShi_T	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD4_FOShi_T_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD4_FOSlo_T	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD4_FOSlo_T_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD4_GZMApos_T	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD4_GZMApos_T_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
